address,sqft,info,price,url,latitude,longitude
"4051 Larchwood Pl, Riverside, CA 92506","1,608","3 bds2 ba1,608 sqft","$505,000",https://www.zillow.com/homedetails/4051-Larchwood-Pl-Riverside-CA-92506/17841625_zpid/,33.971454,-117.388846
"0 Walker St, Menifee, CA 92584",,0.25 acres lot,"$27,995",https://www.zillow.com/homedetails/0-Walker-St-Menifee-CA-92584/2077066302_zpid/,33.703077,-117.165233
"13657 Nassau Dr, Victorville, CA 92395","1,200","1 bd2 ba1,200 sqft","$150,000",https://www.zillow.com/homedetails/13657-Nassau-Dr-Victorville-CA-92395/17633908_zpid/,34.498957,-117.320663
"15 Valle Dr, Crestline, CA 92325",,"5,390 sqft lot","$14,975",https://www.zillow.com/homedetails/15-Valle-Dr-Crestline-CA-92325/2069932015_zpid/,34.235253,-117.257083
"16055 Washington St, Riverside, CA 92504","3,000","4 bds3 ba3,000 sqft","$849,900",https://www.zillow.com/homedetails/16055-Washington-St-Riverside-CA-92504/17881429_zpid/,33.886351,-117.36706
"15362 Orange Ave, Paramount, CA 90723","1,366","3 bds2 ba1,366 sqft","$520,000",https://www.zillow.com/homedetails/15362-Orange-Ave-Paramount-CA-90723/21043767_zpid/,33.892894,-118.176864
"Balfrin Drive, Lake Gregory, CA 92325",,0.33 acres lot,"$59,500",https://www.zillow.com/homedetails/Balfrin-Drive-Lake-Gregory-CA-92325/2101871984_zpid/,34.23504,-117.260283
"Zell Ct, Crestline, CA 92325",,"6,272 sqft lot","$49,500",https://www.zillow.com/homedetails/Zell-Ct-Crestline-CA-92325/137689044_zpid/,34.244845,-117.275151
"Mojave River Rd, Cedarpines Park, CA 92322",,"3,789 sqft lot","$54,500",https://www.zillow.com/homedetails/Mojave-River-Rd-Cedarpines-Park-CA-92322/249729531_zpid/,34.260072,-117.313218
"1524 Esparza Ct, Pomona, CA 91766","2,476","5 bds3 ba2,476 sqft","$700,000",https://www.zillow.com/homedetails/1524-Esparza-Ct-Pomona-CA-91766/79800746_zpid/,34.042748,-117.76237
"153 Granada St, Tustin, CA 92780","1,440","4 bds2 ba1,440 sqft","$194,999",https://www.zillow.com/homedetails/153-Granada-St-Tustin-CA-92780/59729462_zpid/,33.727721,-117.809294
"Avenue R8, Littlerock, CA 93543",,10 acres lot,"$129,950",https://www.zillow.com/homedetails/Avenue-R8-Littlerock-CA-93543/2078258203_zpid/,34.564333,-117.910398
"404 Wylerhorn Dr, San Moritz, CA 92325","2,683","5 bds3 ba2,683 sqft","$1,400,000",https://www.zillow.com/homedetails/404-Wylerhorn-Dr-San-Moritz-CA-92325/17416468_zpid/,34.24572,-117.271015
"320 Longhorn Ave, Mojave, CA 93501",,2.5 acres lot,"$13,999",https://www.zillow.com/homedetails/320-Longhorn-Ave-Mojave-CA-93501/2070235095_zpid/,34.970181,-118.137747
"13063 5th St Space 13, Yucaipa, CA 92399",832,2 bds1 ba832 sqft,"$30,000",https://www.zillow.com/homedetails/13063-5th-St-SPACE-13-Yucaipa-CA-92399/145568862_zpid/,34.016575,-117.05517
"847 Harding St, Hemet, CA 92543","1,337","3 bds2 ba1,337 sqft","$342,500",https://www.zillow.com/homedetails/847-Harding-St-Hemet-CA-92543/17972997_zpid/,33.760908,-116.976422
"0 Brightman Ave, Lake Elsinore, CA 92530",,"3,484 sqft lot","$50,000",https://www.zillow.com/homedetails/0-Brightman-Ave-Lake-Elsinore-CA-92530/2077523198_zpid/,33.638066,-117.347015
"20806 S Gridley Rd #8, Lakewood, CA 90715","1,214","3 bds2 ba1,214 sqft","$195,000",https://www.zillow.com/homedetails/20806-S-Gridley-Rd-8-Lakewood-CA-90715/2071118107_zpid/,33.8406,-118.090003
"33600 Calimesa Blvd Space 60, Yucaipa, CA 92399","1,440","2 bds2 ba1,440 sqft","$82,000",https://www.zillow.com/homedetails/33600-Calimesa-Blvd-SPACE-60-Yucaipa-CA-92399/145568110_zpid/,34.013307,-117.068446
"0 Torosa St, Adelanto, CA 92301",,2.28 acres lot,"$18,995",https://www.zillow.com/homedetails/0-Torosa-St-Adelanto-CA-92301/2080968238_zpid/,34.650139,-117.430535
"27836 Country Lane Rd, Laguna Niguel, CA 92677","2,067","3 bds3 ba2,067 sqft","$1,348,000",https://www.zillow.com/homedetails/27836-Country-Lane-Rd-Laguna-Niguel-CA-92677/25552214_zpid/,33.558579,-117.698888
"0 185th St E, Lancaster, CA 93535",,10 acres lot,"$57,000",https://www.zillow.com/homedetails/0-185th-St-E-Lancaster-CA-93535/2105946392_zpid/,34.734786,-117.800636
"Jasmine St #76, Victorville, CA 92395",,0.5 acres lot,"$49,500",https://www.zillow.com/homedetails/Jasmine-St-76-Victorville-CA-92395/2071601108_zpid/,34.473359,-117.323162
"1464 W 25th St, Los Angeles, CA 90007","3,025","8 bds5 ba3,025 sqft","$999,000",https://www.zillow.com/homedetails/1464-W-25th-St-Los-Angeles-CA-90007/2086677940_zpid/,34.03356,-118.29289
"Lot 1 Mariel Ave, Edwards, CA 93523",,2.34 acres lot,"$13,499",https://www.zillow.com/homedetails/LOT-1-Mariel-Ave-Edwards-CA-93523/2076873658_zpid/,35.040201,-117.828206
"0 P Werner Way, Pearblossom, CA 93553",,5 acres lot,"$14,500",https://www.zillow.com/homedetails/0-P-Werner-Way-Pearblossom-CA-93553/2076900809_zpid/,34.419133,-117.890496
"11441 Whittier Ave, Loma Linda, CA 92354",,1 acres lot,"$45,000",https://www.zillow.com/homedetails/11441-Whittier-Ave-Loma-Linda-CA-92354/2076902178_zpid/,34.04589,-117.229842
